study_id,source_figure,source_panel,extraction_method,extracted_by,extraction_date,x_name,x_value,x_units,visibility_obs,visibility_se,visibility_type,marker_visibility,t_meas,Lambda,Gamma,Theta,path_separation,detector_spatial_resolution,coherence_time,detector_response_time,record_entropy_bits,record_survival_probability,environment_coupling,conditioned_on,notes
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.0,dimensionless,1.00,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.2,dimensionless,0.88,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.4,dimensionless,0.70,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.5,dimensionless,0.64,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.6,dimensionless,0.55,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.8,dimensionless,0.36,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.0,dimensionless,0.23,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.2,dimensionless,0.22,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.4,dimensionless,0.22,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.6,dimensionless,0.21,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.8,dimensionless,0.20,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_I_forward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,2.0,dimensionless,0.19,0.06,conditioned,,,,,,,,,,,,,case_I_forward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.0,dimensionless,1.00,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.2,dimensionless,0.68,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.4,dimensionless,0.42,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.5,dimensionless,0.34,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.6,dimensionless,0.28,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,0.8,dimensionless,0.22,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.0,dimensionless,0.16,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.2,dimensionless,0.12,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.4,dimensionless,0.09,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.6,dimensionless,0.08,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,1.8,dimensionless,0.06,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
CHAPMAN_1995_SCATTER,Fig.3,case_III_backward_selected,first_pass_visual_digitization,Codex,2026-04-24,d_over_lambda,2.0,dimensionless,0.04,0.07,conditioned,,,,,,,,,,,,,case_III_backward,first pass visual estimate from rendered PDF not publication grade
