study_id,source_figure,source_panel,extraction_method,extracted_by,extraction_date,x_name,x_value,x_units,visibility_obs,visibility_se,visibility_type,marker_visibility,t_meas,Lambda,Gamma,Theta,path_separation,detector_spatial_resolution,coherence_time,detector_response_time,record_entropy_bits,record_survival_probability,environment_coupling,record_accessibility,conditioned_on,notes
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.5,dimensionless,0.339971,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.6,dimensionless,0.279941,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.8,dimensionless,0.219912,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.0,dimensionless,0.159883,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.2,dimensionless,0.120059,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.4,dimensionless,0.089898,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.6,dimensionless,0.079941,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.8,dimensionless,0.060029,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,2.0,dimensionless,0.040117,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.0,dimensionless,1.0,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.2,dimensionless,0.900146,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.4,dimensionless,0.759883,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.5,dimensionless,0.660029,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.6,dimensionless,0.580088,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.8,dimensionless,0.380088,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.0,dimensionless,0.240117,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.2,dimensionless,0.219912,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.4,dimensionless,0.219912,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.6,dimensionless,0.209956,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.8,dimensionless,0.2,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,2.0,dimensionless,0.190044,0.04,conditioned,,,,,,,,,,,,,,case_I_forward,Calibrated manual pixel picks from Fig. 3 case I branch.
