package_rank,candidate_id,study,required_artifact,expected_extract_dir,artifact_search_pattern,inspection_status,inspection_command,required_columns,closure_boundary
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,record|distribution|momentum|correlation|width,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted && find outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|distribution|momentum|correlation|width' outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,visibility|contrast|fringe|coherence|setting,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted && find outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|coherence|setting' outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,independent|provenance|measured|fit|visibility,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted && find outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'independent|provenance|measured|fit|visibility' outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,record|distribution|momentum|correlation|width,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted && find outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|distribution|momentum|correlation|width' outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted,visibility|contrast|fringe|coherence|setting,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted && find outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|coherence|setting' outputs/tmp/arxiv_source_packages/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted,independent|provenance|measured|fit|visibility,pending_fetch,test -d outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted && find outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted -maxdepth 3 -type f | sort && grep -RIlE 'independent|provenance|measured|fit|visibility' outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted,record|distribution|momentum|correlation|width,pending_fetch,test -d outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted && find outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|distribution|momentum|correlation|width' outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted,visibility|contrast|fringe|coherence|setting,pending_fetch,test -d outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted && find outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|coherence|setting' outputs/tmp/arxiv_source_packages/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independence_provenance.md,outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted,independent|provenance|measured|fit|visibility,pending_fetch,test -d outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted && find outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'independent|provenance|measured|fit|visibility' outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted,record|distribution|momentum|correlation|width,pending_fetch,test -d outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted && find outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|distribution|momentum|correlation|width' outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted,visibility|contrast|fringe|coherence|setting,pending_fetch,test -d outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted && find outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|coherence|setting' outputs/tmp/arxiv_source_packages/CORMANN_2016_MODULAR_VALUE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
