package_rank,candidate_id,study,required_artifact,source_file_hint,receipt_template_status,receipt_template_path,required_receipt_columns,receipt_fill_command,review_gate,overclaim_boundary
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHORNBERGER_2003_COLLISIONAL_DECOHERENCE,independent_record_distribution.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independent-record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHORNBERGER_2003_COLLISIONAL_DECOHERENCE,paired_visibility_or_contrast.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/paired-visibility-or-contrast.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,independence_provenance.md,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independence-provenance.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,independent_record_distribution.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/independent-record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,paired_visibility_or_contrast.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hochrainer-2017-induced-coherence-momentum-correlation/paired-visibility-or-contrast.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nLAHIRI_2017_TWIN_PHOTON_CORRELATIONS,independence_provenance.md,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independence-provenance.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nLAHIRI_2017_TWIN_PHOTON_CORRELATIONS,independent_record_distribution.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/independent-record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,paired_visibility_or_contrast.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nLAHIRI_2017_TWIN_PHOTON_CORRELATIONS,paired_visibility_or_contrast.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/lahiri-2017-twin-photon-correlations/paired-visibility-or-contrast.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independence_provenance.md,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nCORMANN_2016_MODULAR_VALUE,independence_provenance.md,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independence-provenance.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nCORMANN_2016_MODULAR_VALUE,independent_record_distribution.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/independent-record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,paired_visibility_or_contrast.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nCORMANN_2016_MODULAR_VALUE,paired_visibility_or_contrast.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/cormann-2016-modular-value/paired-visibility-or-contrast.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
