route_rank,candidate_id,study,required_artifact,receipt_template_path,receipt_verification_status,verification_command,required_verified_fields,acceptance_gate,closure_credit_allowed,overclaim_boundary
4,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,setting_pairing_notes.md,outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/setting-pairing-notes.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/setting-pairing-notes.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
4,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,visibility_or_contrast_sweep.csv,outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/visibility-or-contrast-sweep.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/visibility-or-contrast-sweep.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
5,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independence_provenance.md,outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/independence-provenance.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/independence-provenance.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/independent-record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/independent-record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,paired_visibility_or_contrast.csv,outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/paired-visibility-or-contrast.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/durr-1998-complementarity/paired-visibility-or-contrast.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independence_provenance.md,outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/independence-provenance.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/independence-provenance.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/independent-record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/independent-record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,paired_visibility_or_contrast.csv,outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/paired-visibility-or-contrast.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/ding-2025-wave-particle-entanglement-triad/paired-visibility-or-contrast.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independence_provenance.md,outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/independence-provenance.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/independence-provenance.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/independent-record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/independent-record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,paired_visibility_or_contrast.csv,outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/paired-visibility-or-contrast.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/chen-2022-asymmetric-beam-duality/paired-visibility-or-contrast.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
